"seriesType","seriesID","seriesName","year","monthNumber","unit","value"
"Producer Price Index","WPU01110202","Nectarines","2025",6,"Base 1991=100",202.9
"Producer Price Index","WPU01110208","Apples, Granny Smith","2025",6,"Base 1991=100",146.1
"Producer Price Index","WPU01110211","Apples, Golden Delicious","2025",6,"Base 1991=100",168.5
"Producer Price Index","WPU01110215","Apples, Red Delicious","2025",6,"Base 1991=100",232.8
"Producer Price Index","WPU01110216","Apples, McIntosh","2025",6,"Base 1982=100",221.1
"Producer Price Index","WPU01110219","Peaches","2025",6,"Base 1982=100",345
"Producer Price Index","WPU01110221","Pears","2025",6,"Base 1982=100",179.2
"Producer Price Index","WPU01110222","Strawberries","2025",6,"Base 1982=100",87.8
"Producer Price Index","WPU01110225","Blackberries","2025",6,"Base 1991=100",44.7
"Producer Price Index","WPU011103","All melons","2025",6,"Base 1991=100",133.6
"Producer Price Index","WPU01110301","Cantaloupes","2025",6,"Base 1982=100",155.8
"Producer Price Index","WPU01110302","Honeydews","2025",6,"Base 1991=100",253.5
"Producer Price Index","WPU01110303","Watermelons","2025",6,"Base 1991=100",187.5
"Producer Price Index","WPU0113","All fresh and dry vegetables","2025",6,"Base 1982=100",228.4
"Producer Price Index","WPU011301","All dry vegetables (dry beans, peas, and lentils)","2025",6,"Base 1982=100",200.7
"Producer Price Index","WPU011302","All fresh vegetables, except potatoes","2025",6,"Base 1982=100",239.7
"Producer Price Index","WPU01130211","Cabbage","2025",6,"Base 1982=100",250.6
"Producer Price Index","WPU01130212","Carrots","2025",6,"Base 1982=100",277.9
"Producer Price Index","WPU01130213","Celery","2025",6,"Base 1982=100",219.4
"Producer Price Index","WPU01130214","Sweet corn","2025",6,"Base 1982=100",124.7
"Producer Price Index","WPU01130215","Lettuce","2025",6,"Base 1982=100",246.5
"Producer Price Index","WPU01130216","Onions, dry","2025",6,"Base 1982=100",164.7
"Producer Price Index","WPU01130217","Tomatoes","2025",6,"Base 1982=100",290.7
"Producer Price Index","WPU01130218","Snap beans","2025",6,"Base 1982=100",445.3
"Producer Price Index","WPU01130222","Broccoli","2025",6,"Base 1991=100",236.8
"Producer Price Index","WPU01130223","Cauliflower","2025",6,"Base 1991=100",68.9
"Producer Price Index","WPU01130224","Spinach","2025",6,"Base 1991=100",429.2
"Producer Price Index","WPU01130225","Greens","2025",6,"Base 1991=100",222
"Producer Price Index","WPU01130226","Endive","2025",6,"Base 1991=100",773.7
"Producer Price Index","WPU01130228","Green peppers","2025",6,"Base 1991=100",374
"Producer Price Index","WPU01130229","Eggplant","2025",6,"Base 1991=100",180.9
"Producer Price Index","WPU01130231","Squash","2025",6,"Base 1991=100",126.8
"Producer Price Index","WPU01130232","Beets","2025",6,"Base 1991=100",177.1
"Producer Price Index","WPU01130234","Cucumbers","2025",6,"Base 1991=100",177.7
"Producer Price Index","WPU011303","Sweet potatoes","2025",6,"Base 1982=100",181.2
"Producer Price Index","WPU011306","Potatoes, all","2025",6,"Base 2011=100",102
"Producer Price Index","WPU01130602","Potatoes, round white","2025",6,"Base 1991=100",194.2
"Producer Price Index","WPU01130603","Potatoes, russet","2025",6,"Base 1991=100",158.8
"Producer Price Index","WPU01130604","Potatoes, round red","2025",6,"Base 1991=100",178.7
"Producer Price Index","WPU0119","All tree nuts","2025",6,"Base 1982=100",1385.8
"Producer Price Index","WPU01190101","Pecans","2025",6,"Base 1982=100",857.5
"Producer Price Index","WPU01190102","Almonds","2025",6,"Base 1991=100",390.4
"Producer Price Index","WPU01190103","Filberts","2025",6,"Base 1991=100",361.8
"Producer Price Index","WPU01190104","Walnuts","2025",6,"Base 1991=100",230.8
"Producer Price Index","WPU02","All processed foods and feeds","2025",6,"Base 1982=100",275.1
"Producer Price Index","WPU024","All processed fruits and vegetables","2025",6,"Base 1982=100",295.1
"Producer Price Index","WPU0241","All canned fruits and juices","2025",6,"Base 1982=100",315.5
"Producer Price Index","WPU024101","Canned fruits, excluding baby foods","2025",6,"Base 1982=100",304.9
"Producer Price Index","WPU024102","Canned and fresh fruit juices, nectars, and concentrates","2025",6,"Base 1982=100",329.2
"Producer Price Index","WPU0242","All frozen fruits, juices and ades","2025",6,"Base 1982=100",339.6
"Producer Price Index","WPU024202","Frozen fruits","2025",6,"Base 1982=100",286.9
"Producer Price Index","WPU0244","All canned vegetables and juices","2025",6,"Base 1982=100",251
"Producer Price Index","WPU02440102","Canned vegetables","2025",6,"Base 1987=100",277.4
"Producer Price Index","WPU02440127","Canned catsup and other tomato based sauces","2025",6,"Base 1987=100",222.6
"Producer Price Index","WPU0245","All frozen vegetables","2025",6,"Base 1982=100",313.8
"Producer Price Index","WPU024502","Frozen potato products","2025",6,"Base 1990=100",344.7
"Producer Price Index","WPU024505","Frozen vegetables, other than potato products","2025",6,"Base 1990=100",190.4
"Producer Price Index","WPU0282","Pickles and other pickled products, including horseradish","2025",6,"Base 1982=100",310.4
