Year,Category,Data_item,Quantity,Units
2015,Miscellaneous,Total natural cheese,35.398,pounds
2015,Processed products,Cheese,4.482,pounds
2015,Processed products,"Cold pack, cheese foods, other foods, and spreads",2.84,pounds
2015,Processed products,Total processed,7.322,pounds
2016,American types,Cheddar,10.407,pounds
2016,American types,Other than Cheddar,3.956,pounds
2016,American types,Total,14.362,pounds
2016,Italian types,Mozzarella,11.743,pounds
2016,Italian types,Other than mozzarella,3.493,pounds
2016,Italian types,Total,15.237,pounds
2016,Other types of cheeses typically from cows,Swiss,1.059,pounds
2016,Other types of cheeses typically from cows,Blue,0.308,pounds
2016,Other types of cheeses typically from cows,Brick,0.008,pounds
2016,Other types of cheeses typically from cows,Muenster,0.522,pounds
2016,Other types of cheeses typically from cows,Cream and Neufchatel,2.612,pounds
2016,Other types of cheeses typically from cows,Hispanic,0.761,pounds
2016,Other types of cheeses typically from cows,Other,1.573,pounds
2016,Miscellaneous,"Total other-than-American cheese, excluding cheese not from cows",22.08,pounds
2016,Miscellaneous,Imported cheese not from cows,0.276,pounds
2016,Miscellaneous,Total natural cheese,36.718,pounds
2016,Processed products,Cheese,4.858,pounds
2016,Processed products,"Cold pack, cheese foods, other foods, and spreads",2.122,pounds
2016,Processed products,Total processed,6.979,pounds
2017,American types,Cheddar,11.091,pounds
2017,American types,Other than Cheddar,3.999,pounds
2017,American types,Total,15.09,pounds
2017,Italian types,Mozzarella,11.613,pounds
2017,Italian types,Other than mozzarella,3.511,pounds
2017,Italian types,Total,15.124,pounds
2017,Other types of cheeses typically from cows,Swiss,1.045,pounds
2017,Other types of cheeses typically from cows,Blue,0.301,pounds
2017,Other types of cheeses typically from cows,Brick,0.007,pounds
2017,Other types of cheeses typically from cows,Muenster,0.531,pounds
2017,Other types of cheeses typically from cows,Cream and Neufchatel,2.581,pounds
2017,Other types of cheeses typically from cows,Hispanic,0.802,pounds
2017,Other types of cheeses typically from cows,Other,1.478,pounds
2017,Miscellaneous,"Total other-than-American cheese, excluding cheese not from cows",21.869,pounds
