Product volumes (million pounds)              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more or less detail, click the appropriate outline symbol, 1 or 2, to the left of the Column letter A above.  
To expand or collapse data, click the + or - outline symbols.",,,,,,Back to content page,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 6
,,,Less use in other dairy products,,,,19,23,16,9,5,9,4,11,19,12,33,115,47,36,18,47,48,40,41,47,157,134,41,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Lactalbumin, 80-89.9 percent protein",,,,,NA,NA,NA,22,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Whey solids in wet blends, animal use",,,,,36,40,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry milk products (net),,,,,,"1,197",927,"1,250","1,158",852,992,"1,023","1,131","1,586","1,215","1,405","1,723","1,764","1,980","2,153","2,076","2,175","2,367","2,366","2,385","2,691","2,686","2,659","2,394"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nonfat dry milk (net),,,,,"1,042",837,"1,153","1,069",753,573,661,826,"1,088",877,998,"1,092","1,101","1,015","1,272","1,298","1,301","1,475","1,402","1,367","1,498","1,614","1,624","1,385"
,,,Nonfat dry milk (gross),,,,"1,452","1,414","1,596","1,589","1,412","1,210","1,244","1,298","1,519","1,512","1,563","1,499","1,764","1,478","1,765","1,822","1,753","1,835","1,778","1,851","1,952","2,047","1,955","1,868"
,,,Less use in other dairy products,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hard cheese,,,97,256,185,352,413,436,391,274,215,346,281,213,343,254,263,279,242,159,193,199,161,154,82,170
,,,,Frozen desserts,,,82,89,92,54,56,56,54,45,59,97,50,54,64,61,93,109,93,120,71,73,45,54,76,39
,,,,Cultured products,,,25,20,19,24,30,47,61,49,72,88,60,19,30,35,23,19,53,25,16,18,8,19,10,13
,,,,Cottage cheese and cream cheese,,,29,37,34,19,24,41,36,31,33,39,36,12,15,17,12,10,6,7,5,5,2,6,3,4
,,,,Fluid fortification and drink mixes,,,35,12,21,9,5,4,2,3,6,7,23,37,58,31,36,23,17,3,17,18,19,25,2,18
,,,,Other dairy products,,,142,164,90,62,131,53,37,73,47,58,115,73,154,66,66,85,40,47,73,172,220,175,159,240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Skim milk powders,,,,,NA,NA,NA,NA,NA,323,270,201,374,222,254,446,381,631,544,446,559,530,560,573,695,698,658,695
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Milk protein concentrate (net),,,,,NA,NA,NA,NA,NA,NA,NA,NA,8,22,28,38,47,74,103,110,94,109,122,128,173,163,156,114
,,,Milk protein concentrate (gross),,,,NA,NA,NA,NA,NA,NA,NA,NA,75,93,89,94,102,102,126,157,126,139,147,162,206,197,221,218
,,,Less use in other dairy products,,,,NA,NA,NA,NA,NA,NA,NA,NA,67,71,60,56,55,27,23,47,32,30,26,33,34,33,65,104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Milk permeate solids,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,95,53,55,62,70,72,109,116,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dry whole milk (net),,,,,106,38,47,37,41,30,29,28,48,48,67,60,55,71,90,96,96,120,142,138,133,142,116,102
,,,Dry whole milk (gross),,,,111,41,47,39,42,32,31,32,50,52,71,66,58,72,103,109,98,122,144,141,138,148,137,111
,,,Less use in other dairy products,,,,5,3,0,2,1,3,1,3,2,4,4,6,3,1,13,13,3,3,2,3,5,6,21,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dry buttermilk (net),,,,,43,47,42,47,53,61,56,72,60,38,50,78,76,84,80,61,54,52,54,54,58,61,96,90
,,,Dry buttermilk (gross),,,,56,52,55,52,55,66,67,81,72,52,82,100,109,119,111,98,110,113,118,118,127,132,138,142
,,,Less use in other dairy products,,,,13,5,13,6,2,6,11,10,13,14,32,22,34,35,31,37,55,61,64,64,69,71,43,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dry skim milk for animal use,,,,,6,6,8,6,5,6,6,5,8,9,8,9,10,10,11,10,9,12,14,16,18,8,9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
