"Table","Year","Data_item","Region","State","Value","Units"
"Milk cows",1973,"Milk cows, average inventory","Mountain Region","Total region",449.9,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","West Coast","California",792,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","West Coast","Oregon",93,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","West Coast","Washington",183,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","West Coast","Total region",1068,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Other States","Alaska",1.7,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Other States","Hawaii",12.8,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Other States","Total region",14.5,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","United States","Total region",11413,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Northeast","Connecticut",54,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Northeast","Delaware",12.2,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Northeast","Maine",60,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Northeast","Maryland",142,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Northeast","Massachusetts",54,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Northeast","New Hampshire",32,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Northeast","New Jersey",50,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Northeast","New York",905,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Northeast","Pennsylvania",687,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Northeast","Rhode Island",5.9,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Northeast","Vermont",193,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Northeast","Total region",2195.1,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Lake States","Michigan",418,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Lake States","Minnesota",890,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Lake States","Wisconsin",1801,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Lake States","Total region",3109,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Corn Belt","Illinois",254,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Corn Belt","Indiana",220,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Corn Belt","Iowa",407,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Corn Belt","Missouri",314,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Corn Belt","Ohio",407,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Corn Belt","Total region",1602,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Northern Plains","Kansas",147,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Northern Plains","Nebraska",158,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Northern Plains","North Dakota",119,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Northern Plains","South Dakota",174,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Northern Plains","Total region",598,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Appalachia","Kentucky",297,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Appalachia","North Carolina",146,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Appalachia","Tennessee",218,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Appalachia","Virginia",175,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Appalachia","West Virginia",42,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Appalachia","Total region",878,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Southeast","Alabama",95,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Southeast","Florida",201,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Southeast","Georgia",130,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Southeast","South Carolina",57,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Southeast","Total region",483,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Delta States","Arkansas",92,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Delta States","Louisiana",137,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Delta States","Mississippi",129,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Delta States","Total region",358,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Southern Plains","Oklahoma",124,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Southern Plains","Texas",349,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Southern Plains","Total region",473,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Mountain Region","Arizona",62,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Mountain Region","Colorado",76,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Mountain Region","Idaho",149,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Mountain Region","Montana",28,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Mountain Region","Nevada",14,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Mountain Region","New Mexico",30,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Mountain Region","Utah",78,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Mountain Region","Wyoming",13.2,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","Mountain Region","Total region",450.2,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","West Coast","California",797,"Thousand head"
"Milk cows",1974,"Milk cows, average inventory","West Coast","Oregon",91,"Thousand head"
