"Year","Category","Data_item","Quantity","Units"
2018,"Dry skim milk products","Dry whole milk",0.36,"Pounds per capita"
2019,"Dry skim milk products","Dry whole milk",0.223,"Pounds per capita"
2020,"Dry skim milk products","Dry whole milk",0.294,"Pounds per capita"
2021,"Dry skim milk products","Dry whole milk",0.229,"Pounds per capita"
2022,"Dry skim milk products","Dry whole milk",0.261,"Pounds per capita"
2023,"Dry skim milk products","Dry whole milk",0.261,"Pounds per capita"
1975,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.262,"Pounds per capita"
1976,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.511,"Pounds per capita"
1977,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.311,"Pounds per capita"
1978,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.109,"Pounds per capita"
1979,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.292,"Pounds per capita"
1980,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.016,"Pounds per capita"
1981,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.157,"Pounds per capita"
1982,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.133,"Pounds per capita"
1983,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.262,"Pounds per capita"
1984,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.536,"Pounds per capita"
1985,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.287,"Pounds per capita"
1986,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.478,"Pounds per capita"
1987,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.542,"Pounds per capita"
1988,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.615,"Pounds per capita"
1989,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.151,"Pounds per capita"
1990,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.896,"Pounds per capita"
1991,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.591,"Pounds per capita"
1992,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.809,"Pounds per capita"
1993,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.452,"Pounds per capita"
1994,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.476,"Pounds per capita"
1995,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.422,"Pounds per capita"
1996,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.725,"Pounds per capita"
1997,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.324,"Pounds per capita"
1998,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.189,"Pounds per capita"
1999,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.683,"Pounds per capita"
2000,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.658,"Pounds per capita"
2001,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.345,"Pounds per capita"
2002,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.081,"Pounds per capita"
2003,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.374,"Pounds per capita"
2004,"Dry skim milk products","Nonfat dry milk and skim milk powder",4.291,"Pounds per capita"
2005,"Dry skim milk products","Nonfat dry milk and skim milk powder",4.198,"Pounds per capita"
2006,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.211,"Pounds per capita"
2007,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.861,"Pounds per capita"
2008,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.061,"Pounds per capita"
2009,"Dry skim milk products","Nonfat dry milk and skim milk powder",4.001,"Pounds per capita"
2010,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.238,"Pounds per capita"
2011,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.999,"Pounds per capita"
2012,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.619,"Pounds per capita"
2013,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.883,"Pounds per capita"
2014,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.093,"Pounds per capita"
2015,"Dry skim milk products","Nonfat dry milk and skim milk powder",3.229,"Pounds per capita"
2016,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.945,"Pounds per capita"
2017,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.773,"Pounds per capita"
2018,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.273,"Pounds per capita"
2019,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.679,"Pounds per capita"
2020,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.459,"Pounds per capita"
2021,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.466,"Pounds per capita"
2022,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.255,"Pounds per capita"
2023,"Dry skim milk products","Nonfat dry milk and skim milk powder",2.455,"Pounds per capita"
1975,"Dry skim milk products","Dry buttermilk",0.2,"Pounds per capita"
1976,"Dry skim milk products","Dry buttermilk",0.2,"Pounds per capita"
1977,"Dry skim milk products","Dry buttermilk",0.3,"Pounds per capita"
1978,"Dry skim milk products","Dry buttermilk",0.2,"Pounds per capita"
1979,"Dry skim milk products","Dry buttermilk",0.2,"Pounds per capita"
1980,"Dry skim milk products","Dry buttermilk",0.2,"Pounds per capita"
1981,"Dry skim milk products","Dry buttermilk",0.2,"Pounds per capita"
1982,"Dry skim milk products","Dry buttermilk",0.2,"Pounds per capita"
1983,"Dry skim milk products","Dry buttermilk",0.2,"Pounds per capita"
1984,"Dry skim milk products","Dry buttermilk",0.2,"Pounds per capita"
1985,"Dry skim milk products","Dry buttermilk",0.2,"Pounds per capita"
1986,"Dry skim milk products","Dry buttermilk",0.2,"Pounds per capita"
1987,"Dry skim milk products","Dry buttermilk",0.2,"Pounds per capita"
1988,"Dry skim milk products","Dry buttermilk",0.2,"Pounds per capita"
1989,"Dry skim milk products","Dry buttermilk",0.2,"Pounds per capita"
1990,"Dry skim milk products","Dry buttermilk",0.191,"Pounds per capita"
1991,"Dry skim milk products","Dry buttermilk",0.237,"Pounds per capita"
1992,"Dry skim milk products","Dry buttermilk",0.236,"Pounds per capita"
1993,"Dry skim milk products","Dry buttermilk",0.19,"Pounds per capita"
1994,"Dry skim milk products","Dry buttermilk",0.184,"Pounds per capita"
1995,"Dry skim milk products","Dry buttermilk",0.204,"Pounds per capita"
1996,"Dry skim milk products","Dry buttermilk",0.176,"Pounds per capita"
1997,"Dry skim milk products","Dry buttermilk",0.188,"Pounds per capita"
1998,"Dry skim milk products","Dry buttermilk",0.166,"Pounds per capita"
1999,"Dry skim milk products","Dry buttermilk",0.166,"Pounds per capita"
2000,"Dry skim milk products","Dry buttermilk",0.189,"Pounds per capita"
2001,"Dry skim milk products","Dry buttermilk",0.15,"Pounds per capita"
2002,"Dry skim milk products","Dry buttermilk",0.151,"Pounds per capita"
2003,"Dry skim milk products","Dry buttermilk",0.159,"Pounds per capita"
2004,"Dry skim milk products","Dry buttermilk",0.15,"Pounds per capita"
2005,"Dry skim milk products","Dry buttermilk",0.19,"Pounds per capita"
2006,"Dry skim milk products","Dry buttermilk",0.217,"Pounds per capita"
2007,"Dry skim milk products","Dry buttermilk",0.187,"Pounds per capita"
2008,"Dry skim milk products","Dry buttermilk",0.204,"Pounds per capita"
2009,"Dry skim milk products","Dry buttermilk",0.2,"Pounds per capita"
2010,"Dry skim milk products","Dry buttermilk",0.216,"Pounds per capita"
2011,"Dry skim milk products","Dry buttermilk",0.297,"Pounds per capita"
2012,"Dry skim milk products","Dry buttermilk",0.283,"Pounds per capita"
2013,"Dry skim milk products","Dry buttermilk",0.391,"Pounds per capita"
2014,"Dry skim milk products","Dry buttermilk",0.276,"Pounds per capita"
2015,"Dry skim milk products","Dry buttermilk",0.322,"Pounds per capita"
2016,"Dry skim milk products","Dry buttermilk",0.284,"Pounds per capita"
2017,"Dry skim milk products","Dry buttermilk",0.32,"Pounds per capita"
2018,"Dry skim milk products","Dry buttermilk",0.338,"Pounds per capita"
2019,"Dry skim milk products","Dry buttermilk",0.339,"Pounds per capita"
2020,"Dry skim milk products","Dry buttermilk",0.349,"Pounds per capita"
2021,"Dry skim milk products","Dry buttermilk",0.33,"Pounds per capita"
2022,"Dry skim milk products","Dry buttermilk",0.333,"Pounds per capita"
2023,"Dry skim milk products","Dry buttermilk",0.337,"Pounds per capita"
1975,"Dry skim milk products","Dry whey and whey protein concentrate",2.2,"Pounds per capita"
1976,"Dry skim milk products","Dry whey and whey protein concentrate",2.4,"Pounds per capita"
1977,"Dry skim milk products","Dry whey and whey protein concentrate",2.4,"Pounds per capita"
1978,"Dry skim milk products","Dry whey and whey protein concentrate",2.4,"Pounds per capita"
1979,"Dry skim milk products","Dry whey and whey protein concentrate",2.7,"Pounds per capita"
1980,"Dry skim milk products","Dry whey and whey protein concentrate",2.7,"Pounds per capita"
1981,"Dry skim milk products","Dry whey and whey protein concentrate",2.7,"Pounds per capita"
1982,"Dry skim milk products","Dry whey and whey protein concentrate",2.9,"Pounds per capita"
1983,"Dry skim milk products","Dry whey and whey protein concentrate",3.1,"Pounds per capita"
1984,"Dry skim milk products","Dry whey and whey protein concentrate",3.2,"Pounds per capita"
1985,"Dry skim milk products","Dry whey and whey protein concentrate",3.5,"Pounds per capita"
1986,"Dry skim milk products","Dry whey and whey protein concentrate",3.7,"Pounds per capita"
1987,"Dry skim milk products","Dry whey and whey protein concentrate",3.6,"Pounds per capita"
1988,"Dry skim milk products","Dry whey and whey protein concentrate",3.5,"Pounds per capita"
1989,"Dry skim milk products","Dry whey and whey protein concentrate",3.5,"Pounds per capita"
1990,"Dry skim milk products","Dry whey and whey protein concentrate",3.738,"Pounds per capita"
1991,"Dry skim milk products","Dry whey and whey protein concentrate",3.574,"Pounds per capita"
1992,"Dry skim milk products","Dry whey and whey protein concentrate",3.757,"Pounds per capita"
1993,"Dry skim milk products","Dry whey and whey protein concentrate",3.783,"Pounds per capita"
1994,"Dry skim milk products","Dry whey and whey protein concentrate",3.787,"Pounds per capita"
1995,"Dry skim milk products","Dry whey and whey protein concentrate",4.087,"Pounds per capita"
1996,"Dry skim milk products","Dry whey and whey protein concentrate",3.834,"Pounds per capita"
1997,"Dry skim milk products","Dry whey and whey protein concentrate",3.928,"Pounds per capita"
1998,"Dry skim milk products","Dry whey and whey protein concentrate",4.04,"Pounds per capita"
1999,"Dry skim milk products","Dry whey and whey protein concentrate",3.998,"Pounds per capita"
2000,"Dry skim milk products","Dry whey and whey protein concentrate",3.744,"Pounds per capita"
